# Generator: analysis/compute_dependency.py --json
# Git commit: ba333cfc8d54e24984076b44d043a05be139e979
# SHA-256: e73025994bab6b5b59fe84235fba2bd23f40e6a4dfc562f8d6c19ddaaa88a86a
# Generated: 2026-07-04
# Tool version: 1.0.0
# Columns: block (0-1), round (0-63), op_type (S1|ch|temp1|S0|maj|temp2|e_new|a_new), is_invariant (1=invariant, 0=nonce-dependent)
#
block,round,op_type,is_invariant
1,19,a_new,0
1,20,S1,0
1,20,ch,0
1,20,temp1,0
1,20,S0,0
1,20,maj,0
1,20,temp2,0
1,20,e_new,0
1,20,a_new,0
1,21,S1,0
1,21,ch,0
1,21,temp1,0
1,21,S0,0
1,21,maj,0
1,21,temp2,0
1,21,e_new,0
1,21,a_new,0
1,22,S1,0
1,22,ch,0
1,22,temp1,0
1,22,S0,0
1,22,maj,0
1,22,temp2,0
1,22,e_new,0
1,22,a_new,0
1,23,S1,0
1,23,ch,0
1,23,temp1,0
1,23,S0,0
1,23,maj,0
1,23,temp2,0
1,23,e_new,0
1,23,a_new,0
1,24,S1,0
1,24,ch,0
1,24,temp1,0
1,24,S0,0
1,24,maj,0
1,24,temp2,0
1,24,e_new,0
1,24,a_new,0
1,25,S1,0
1,25,ch,0
1,25,temp1,0
1,25,S0,0
1,25,maj,0
1,25,temp2,0
1,25,e_new,0
1,25,a_new,0
1,26,S1,0
1,26,ch,0
1,26,temp1,0
1,26,S0,0
1,26,maj,0
1,26,temp2,0
1,26,e_new,0
1,26,a_new,0
1,27,S1,0
1,27,ch,0
1,27,temp1,0
1,27,S0,0
1,27,maj,0
1,27,temp2,0
1,27,e_new,0
1,27,a_new,0
1,28,S1,0
1,28,ch,0
1,28,temp1,0
1,28,S0,0
1,28,maj,0
1,28,temp2,0
1,28,e_new,0
1,28,a_new,0
1,29,S1,0
1,29,ch,0
1,29,temp1,0
1,29,S0,0
1,29,maj,0
1,29,temp2,0
1,29,e_new,0
1,29,a_new,0
1,30,S1,0
1,30,ch,0
1,30,temp1,0
1,30,S0,0
1,30,maj,0
1,30,temp2,0
1,30,e_new,0
1,30,a_new,0
1,31,S1,0
1,31,ch,0
1,31,temp1,0
1,31,S0,0
1,31,maj,0
1,31,temp2,0
1,31,e_new,0
1,31,a_new,0
1,32,S1,0
1,32,ch,0
1,32,temp1,0
1,32,S0,0
1,32,maj,0
1,32,temp2,0
1,32,e_new,0
1,32,a_new,0
1,33,S1,0
1,33,ch,0
1,33,temp1,0
1,33,S0,0
1,33,maj,0
1,33,temp2,0
1,33,e_new,0
1,33,a_new,0
1,34,S1,0
1,34,ch,0
1,34,temp1,0
1,34,S0,0
1,34,maj,0
1,34,temp2,0
1,34,e_new,0
1,34,a_new,0
1,35,S1,0
1,35,ch,0
1,35,temp1,0
1,35,S0,0
1,35,maj,0
1,35,temp2,0
1,35,e_new,0
1,35,a_new,0
1,36,S1,0
1,36,ch,0
1,36,temp1,0
1,36,S0,0
1,36,maj,0
1,36,temp2,0
1,36,e_new,0
1,36,a_new,0
1,37,S1,0
1,37,ch,0
1,37,temp1,0
1,37,S0,0
1,37,maj,0
1,37,temp2,0
1,37,e_new,0
1,37,a_new,0
1,38,S1,0
1,38,ch,0
